Overnight;Mostly Cloudy;Low: 52 °F;Overnight: Mostly cloudy, with a low around 52. South southwest wind around 6 mph. 
Friday;Partly Sunnythen Rain;High: 65 °F;Friday: Rain, mainly after 2pm.  High near 65. South southwest wind 6 to 11 mph increasing to 13 to 18 mph in the afternoon. Winds could gust as high as 26 mph.  Chance of precipitation is 80%. New precipitation amounts between a tenth and quarter of an inch possible. 
FridayNight;Rain;Low: 50 °F;Friday Night: Rain, mainly after 4am.  Low around 50. West southwest wind around 10 mph.  Chance of precipitation is 80%. New precipitation amounts between a tenth and quarter of an inch possible. 
Saturday;Showers;High: 58 °F;Saturday: Rain before 8am, then showers and possibly a thunderstorm after 8am.  High near 58. Southwest wind 7 to 14 mph, with gusts as high as 21 mph.  Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch, except higher amounts possible in thunderstorms. 
SaturdayNight;ShowersLikely;Low: 49 °F;Saturday Night: Showers likely and possibly a thunderstorm before 11pm, then rain likely after 11pm.  Mostly cloudy, with a low around 49. West wind 9 to 14 mph, with gusts as high as 20 mph.  Chance of precipitation is 70%. New precipitation amounts between a tenth and quarter of an inch, except higher amounts possible in thunderstorms. 
Sunday;Chance Rainthen MostlySunny;High: 61 °F;Sunday: A 30 percent chance of rain before 11am.  Partly sunny, with a high near 61. New precipitation amounts of less than a tenth of an inch possible. 
SundayNight;Mostly Clear;Low: 49 °F;Sunday Night: Mostly clear, with a low around 49.
Monday;Partly Sunny;High: 59 °F;Monday: Partly sunny, with a high near 59.
MondayNight;Mostly Cloudy;Low: 49 °F;Monday Night: Mostly cloudy, with a low around 49.
